Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Evis,12/28/2021 13:02,0:00:02,Autoplayed: user action: None; ,Modern Family: Season 6: Marco Polo (Episode 4),,Chrome PC (Cadmium),0:00:03,0:00:03,AL (Albania)
Evis,12/28/2021 12:47,0:14:04,,Modern Family: Season 6: The Cold (Episode 3),,Chrome PC (Cadmium),0:21:39,0:21:39,AL (Albania)
Evis,12/28/2021 12:04,0:00:04,Autoplayed: user action: None; ,Trailer: The Christmas Chronicles: Part Two,TRAILER,Chrome PC (Cadmium),0:00:04,0:00:04,AL (Albania)
Evis,12/27/2021 10:40,0:07:34,,Modern Family: Season 6: The Cold (Episode 3),,Chrome PC (Cadmium),0:07:35,Not latest view,AL (Albania)
Evis,12/27/2021 9:50,0:00:01,,Modern Family: Season 6: The Cold (Episode 3),,Chrome PC (Cadmium),0:00:01,Not latest view,AL (Albania)
Evis,12/27/2021 9:28,0:21:35,,Modern Family: Season 6: Do Not Push (Episode 2),,Chrome PC (Cadmium),0:21:36,0:21:36,AL (Albania)
Evis,12/27/2021 9:21,0:00:45,Autoplayed: user action: None; ,Modern Family: Season 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:45,0:00:45,AL (Albania)
Evis,12/26/2021 20:38,0:42:25,Autoplayed: user action: Unspecified; ,Money Heist: Part 5: Pillow Talk (Episode 9),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,0:43:23,0:43:23,AL (Albania)
Evis,12/26/2021 20:18,0:19:29,Autoplayed: user action: User_Interaction; ,Money Heist: Part 5: The Elegance Theory (Episode 8),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,0:46:37,0:46:37,AL (Albania)
Evis,12/25/2021 12:13,0:47:39,,Greatest Events of WWII in Colour: Season 1: Blitzkrieg (Episode 1),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,0:47:39,0:47:39,AL (Albania)
Evis,12/25/2021 12:13,0:00:20,Autoplayed: user action: None; ,Greatest Events of WWII in HD Colour: Season 1_hook_04_16x9,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,0:00:20,0:00:20,AL (Albania)
Evis,12/25/2021 12:13,0:00:07,Autoplayed: user action: None; ,Season 2 Trailer: Outer Banks,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,0:00:07,0:00:07,AL (Albania)
Evis,12/25/2021 12:11,0:00:04,Autoplayed: user action: None; ,Modern Family: Season 1_hook_primary_16x9,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,0:00:04,Not latest view,AL (Albania)
Evis,12/25/2021 12:11,0:00:05,Autoplayed: user action: None; ,Season 1: Plot Clip: MAID,HOOK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,0:00:05,0:00:05,AL (Albania)
Evis,12/24/2021 19:03,0:20:40,,Modern Family: Season 6: The Long Honeymoon (Episode 1),,Chrome PC (Cadmium),0:21:13,0:21:13,AL (Albania)
Evis,12/24/2021 18:41,0:21:50,,"Modern Family: Season 5: The Wedding, Part 2 (Episode 24)",,Chrome PC (Cadmium),0:21:50,0:21:50,AL (Albania)
Evis,12/24/2021 18:33,0:00:12,,"Modern Family: Season 5: The Wedding, Part 1 (Episode 23)",,Chrome PC (Cadmium),0:16:10,0:16:10,AL (Albania)
Evis,12/23/2021 20:12,0:26:09,Autoplayed: user action: Unspecified; ,Money Heist: Part 5: The Elegance Theory (Episode 8),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,0:27:08,Not latest view,AL (Albania)
Evis,12/23/2021 19:17,0:50:46,Autoplayed: user action: User_Interaction; ,Money Heist: Part 5: Wishful Thinking (Episode 7),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,0:50:46,0:50:46,AL (Albania)
Evis,12/23/2021 13:12,0:20:59,,"Modern Family: Season 5: The Wedding, Part 1 (Episode 23)",,Chrome PC (Cadmium),0:21:01,Not latest view,AL (Albania)
Evis,12/23/2021 12:14,0:00:01,,"Modern Family: Season 5: The Wedding, Part 1 (Episode 23)",,Chrome PC (Cadmium),0:00:02,Not latest view,AL (Albania)
Evis,12/23/2021 11:55,0:18:25,,Modern Family: Season 5: Message Received (Episode 22),,Chrome PC (Cadmium),0:21:05,0:21:05,AL (Albania)
Evis,12/23/2021 9:57,0:02:37,,Modern Family: Season 5: Message Received (Episode 22),,Chrome PC (Cadmium),0:02:39,Not latest view,AL (Albania)
Evis,12/22/2021 20:26,0:00:01,,Modern Family: Season 5: Message Received (Episode 22),,Chrome PC (Cadmium),0:00:02,Not latest view,AL (Albania)
Evis,12/22/2021 19:59,0:21:31,,Modern Family: Season 5: Sleeper (Episode 21),,Chrome PC (Cadmium),0:21:32,0:21:32,AL (Albania)
Evis,12/22/2021 19:19,0:21:34,,Modern Family: Season 5: Australia (Episode 20),,Chrome PC (Cadmium),0:21:35,0:21:35,AL (Albania)
Evis,12/22/2021 18:34,0:21:24,,Modern Family: Season 5: A Hard Jay's Night (Episode 19),,Chrome PC (Cadmium),0:21:25,0:21:25,AL (Albania)
Evis,12/22/2021 18:11,0:21:32,,Modern Family: Season 5: Las Vegas (Episode 18),,Chrome PC (Cadmium),0:21:34,0:21:34,AL (Albania)
Evis,12/22/2021 15:04,0:00:01,,Modern Family: Season 5: Las Vegas (Episode 18),,Chrome PC (Cadmium),0:00:02,Not latest view,AL (Albania)
Evis,12/22/2021 14:40,0:21:19,,Modern Family: Season 5: Other People's Children (Episode 17),,Chrome PC (Cadmium),0:21:24,0:21:24,AL (Albania)
Evis,12/22/2021 14:26,0:01:27,Autoplayed: user action: None; ,Season 2 Trailer 2: Emily in Paris,TRAILER,Chrome PC (Cadmium),0:00:00,0:00:00,AL (Albania)
Evis,12/22/2021 13:43,0:00:04,,Modern Family: Season 5: Other People's Children (Episode 17),,Chrome PC (Cadmium),0:00:05,Not latest view,AL (Albania)
Evis,12/22/2021 12:52,0:21:29,,Modern Family: Season 5: Spring-a-Ding-Fling (Episode 16),,Chrome PC (Cadmium),0:21:34,0:21:34,AL (Albania)
Evis,12/16/2021 11:28,0:00:03,,Modern Family: Season 5: Spring-a-Ding-Fling (Episode 16),,Chrome PC (Cadmium),0:00:05,Not latest view,AL (Albania)
Evis,12/16/2021 10:40,0:20:35,,Modern Family: Season 5: The Feud (Episode 15),,Chrome PC (Cadmium),0:20:37,0:20:37,AL (Albania)
Evis,12/15/2021 20:45,0:50:37,,Money Heist: Part 5: Escape Valve (Episode 6),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,0:50:37,0:50:37,AL (Albania)
Evis,12/15/2021 20:44,0:00:01,Autoplayed: user action: None; ,Money Heist: Part 5: The End of the Road (Episode 1),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,0:04:53,0:04:53,AL (Albania)
Evis,12/15/2021 20:43,0:00:38,,Money Heist: Part 5: The End of the Road (Episode 1),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,0:04:54,Not latest view,AL (Albania)
Evis,12/15/2021 20:42,0:00:08,Autoplayed: user action: None; ,Money Heist: Part 5: Escape Valve (Episode 6),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,0:00:08,Not latest view,AL (Albania)
Evis,12/15/2021 20:42,0:00:07,Autoplayed: user action: None; ,Season 1 Trailer: Cobra Kai,TRAILER,LG 2019 RTK K5Lp Standard UHD TV Smart TV,0:00:07,0:00:07,AL (Albania)
Evis,12/15/2021 13:25,0:00:01,,Modern Family: Season 5: The Feud (Episode 15),,Chrome PC (Cadmium),0:00:02,Not latest view,AL (Albania)
Evis,12/15/2021 13:02,0:21:17,,Modern Family: Season 5: iSpy (Episode 14),,Chrome PC (Cadmium),0:21:22,0:21:22,AL (Albania)
Evis,12/15/2021 12:23,0:00:03,,Modern Family: Season 5: iSpy (Episode 14),,Chrome PC (Cadmium),0:00:04,Not latest view,AL (Albania)
Evis,12/15/2021 12:12,0:11:37,,Modern Family: Season 5: Three Dinners (Episode 13),,Chrome PC (Cadmium),0:21:32,0:21:32,AL (Albania)
Evis,12/15/2021 12:11,0:00:06,Autoplayed: user action: None; ,Superstore: Season 1_hook_01_16x9,HOOK,Chrome PC (Cadmium),0:00:06,0:00:06,AL (Albania)
Evis,12/14/2021 19:19,0:09:55,,Modern Family: Season 5: Three Dinners (Episode 13),,Chrome PC (Cadmium),0:09:55,Not latest view,AL (Albania)
Evis,12/13/2021 20:32,0:00:25,Autoplayed: user action: None; ,Office Christmas Party_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:25,0:00:25,AL (Albania)
Evis,12/13/2021 20:30,0:00:15,Autoplayed: user action: None; ,Plot Clip: A Castle For Christmas,HOOK,Chrome PC (Cadmium),0:00:15,0:00:15,AL (Albania)
Evis,12/13/2021 13:23,0:21:28,,Modern Family: Season 5: Under Pressure (Episode 12),,Chrome PC (Cadmium),0:21:30,0:21:30,AL (Albania)
Evis,12/13/2021 12:43,0:21:14,,Modern Family: Season 5: And One to Grow On (Episode 11),,Chrome PC (Cadmium),0:21:15,0:21:15,AL (Albania)
Evis,12/13/2021 11:50,0:21:36,,Modern Family: Season 5: The Old Man & the Tree (Episode 10),,Chrome PC (Cadmium),0:21:37,0:21:37,AL (Albania)
Evis,12/13/2021 11:24,0:21:28,,Modern Family: Season 5: The Big Game (Episode 9),,Chrome PC (Cadmium),0:21:33,0:21:33,AL (Albania)
Evis,12/13/2021 11:24,0:00:04,Autoplayed: user action: None; ,The Christmas Chronicles (Trailer),TRAILER,Chrome PC (Cadmium),0:00:04,0:00:04,AL (Albania)
Evis,12/13/2021 10:17,0:00:03,Autoplayed: user action: None; ,Modern Family: Season 5: The Big Game (Episode 9),,Chrome PC (Cadmium),0:00:05,Not latest view,AL (Albania)
Evis,12/13/2021 9:45,0:21:35,,Modern Family: Season 5: ClosetCon '13 (Episode 8),,Chrome PC (Cadmium),0:21:35,0:21:35,AL (Albania)
Evis,12/13/2021 9:40,0:03:55,,Modern Family: Season 5: A Fair to Remember (Episode 7),,Chrome PC (Cadmium),0:21:25,0:21:25,AL (Albania)
Evis,12/13/2021 9:39,0:01:04,Autoplayed: user action: None; ,Trailer: Holidate,TRAILER,Chrome PC (Cadmium),0:01:04,0:01:04,AL (Albania)
Evis,12/12/2021 19:20,0:17:29,,Modern Family: Season 5: A Fair to Remember (Episode 7),,Chrome PC (Cadmium),0:17:30,Not latest view,AL (Albania)
Evis,12/12/2021 18:58,0:20:31,,Modern Family: Season 5: The Help (Episode 6),,Chrome PC (Cadmium),0:21:18,0:21:18,AL (Albania)
Evis,12/12/2021 18:57,0:00:04,Autoplayed: user action: None; ,How the Grinch Stole Christmas_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:04,0:00:04,AL (Albania)
Evis,12/12/2021 17:59,0:21:03,,Modern Family: Season 5: The Late Show (Episode 5),,Chrome PC (Cadmium),0:21:03,0:21:03,AL (Albania)
